longitude,latitude
-119.850183,34.407854
-119.850207,34.408022
-119.850231,34.408189
-119.850315,34.408357
-119.850398,34.408505
-119.850470,34.408672
-119.850506,34.408860
-119.850458,34.409037
-119.850363,34.409185
-119.850303,34.409362
-119.850327,34.409530
-119.850375,34.409688
-119.850434,34.409855
-119.850446,34.410033
-119.850422,34.410220
-119.850422,34.410417
-119.850410,34.410595
-119.850554,34.410723
-119.850709,34.410831
-119.850733,34.410999
-119.850578,34.411137
-119.850411,34.411225
-119.850231,34.411245
-119.850064,34.411304
-119.849956,34.411442
-119.849753,34.411472
-119.849562,34.411482
-119.849371,34.411442
-119.849192,34.411383
-119.848989,34.411294
-119.848809,34.411206
-119.848642,34.411107
-119.848487,34.410989
-119.848296,34.410920
-119.848104,34.410900
-119.847937,34.410811
-119.847877,34.410644
-119.847865,34.410457
-119.847865,34.410259
-119.847877,34.410102
-119.847853,34.409914
-119.847806,34.409727
-119.847710,34.409569
-119.847602,34.409412
-119.847423,34.409303
-119.847268,34.409195
-119.847089,34.409106
-119.846898,34.409017
-119.846706,34.408919
-119.846516,34.408779
-119.846393,34.408711
-119.846245,34.408704
-119.846114,34.408738
-119.845974,34.408759
-119.845834,34.408759
-119.845703,34.408738
-119.845563,34.408704
-119.845431,34.408671
-119.845300,34.408643
-119.845160,34.408603
-119.845029,34.408569
-119.844889,34.408542
-119.844741,34.408521
-119.844593,34.408494
-119.844445,34.408481
-119.844248,34.408428
-119.844136,34.408382
-119.844053,34.408313
-119.844011,34.408221
-119.844004,34.408112
-119.844018,34.408003
-119.844046,34.407888
-119.844032,34.407767
-119.843990,34.407669
-119.843927,34.407578
-119.843865,34.407491
-119.843816,34.407388
-119.843760,34.407262
-119.843767,34.407158
-119.843788,34.407032
-119.843788,34.406917
-119.843823,34.406814
-119.843893,34.406722
-119.843927,34.406624
-119.843962,34.406532
-119.844023,34.406384
-119.844122,34.406273
-119.844266,34.406310
-119.844410,34.406362
-119.844563,34.406414
-119.844680,34.406495
-119.844779,34.406599
-119.844896,34.406681
-119.845031,34.406681
-119.845185,34.406652
-119.845329,34.406592
-119.845473,34.406555
-119.845617,34.406518
-119.845779,34.406488
-119.845950,34.406466
-119.846112,34.406436
-119.846265,34.406421
-119.846445,34.406406
-119.846617,34.406384
-119.846770,34.406421
-119.846905,34.406473
-119.847040,34.406510
-119.847103,34.406629
-119.847067,34.406770
-119.846923,34.406808
-119.846761,34.406830
-119.846617,34.406889
-119.846472,34.406949
-119.846337,34.407023
-119.846211,34.407112
-119.846058,34.407201
-119.845959,34.407298
-119.845869,34.407395
-119.845770,34.407491
-119.845761,34.407618
-119.845896,34.407677
-119.846049,34.407744
-119.846202,34.407796
-119.846346,34.407833
-119.846500,34.407907
-119.846599,34.408004
-119.846725,34.408071
-119.846869,34.408115
-119.847013,34.408153
-119.847157,34.408175
-119.847319,34.408219
-119.847472,34.408271
-119.847616,34.408331
-119.847761,34.408398
-119.847912,34.408500
-119.848036,34.408536
-119.848146,34.408590
-119.848227,34.408675
-119.848292,34.408765
-119.848351,34.408868
-119.848424,34.408964
-119.848483,34.409079
-119.848512,34.409188
-119.848556,34.409296
-119.848592,34.409405
-119.848644,34.409502
-119.848687,34.409610
-119.848695,34.409737
-119.848695,34.409870
-119.848675,34.410050
-119.848665,34.410218
-119.848747,34.410344
-119.848899,34.410377
-119.849103,34.410369
-119.849286,34.410394
-119.849469,34.410411
-119.849622,34.410344
-119.849683,34.410209
-119.849683,34.410058
-119.849683,34.409899
-119.849612,34.409765
-119.849591,34.409630
-119.849550,34.409496
-119.849520,34.409362
-119.849561,34.409110
-119.849622,34.408967
-119.849652,34.408833
-119.849632,34.408682
-119.849571,34.408547
-119.849561,34.408379
-119.849561,34.408220
-119.849611,34.408077
-119.849713,34.407960
-119.849846,34.407859
-119.849957,34.407741
-119.850130,34.407724
-119.850183,34.407854
NaN,NaN
-119.851228,34.407605
-119.850956,34.407493
-119.850666,34.407380
-119.850376,34.407310
-119.850036,34.407226
-119.849712,34.407113
-119.849422,34.407001
-119.849133,34.406860
-119.848860,34.406748
-119.848571,34.406635
-119.848298,34.406509
-119.848008,34.406354
-119.847736,34.406214
-119.847429,34.406087
-119.847157,34.405975
-119.846867,34.405862
-119.846578,34.405722
-119.846288,34.405609
-119.846015,34.405469
-119.845743,34.405342
-119.845470,34.405244
-119.845181,34.405188
-119.844959,34.405089
-119.844499,34.404907
-119.844227,34.404851
-119.844039,34.404991
-119.843886,34.405174
-119.843937,34.405413
-119.843971,34.405680
-119.843903,34.405905
-119.843869,34.406144
-119.843852,34.406382
-119.843665,34.406565
-119.843460,34.406734
-119.843273,34.406931
-119.843085,34.407141
-119.842949,34.407380
-119.842847,34.407605
-119.842762,34.407858
-119.842677,34.408069
-119.842591,34.408308
-119.842472,34.408533
-119.842370,34.408800
-119.842268,34.409039
-119.842166,34.409278
-119.842097,34.409503
-119.842029,34.409727
-119.841978,34.409980
-119.841944,34.410233
-119.841893,34.410500
-119.841859,34.410739
-119.841808,34.410978
-119.841757,34.411217
-119.841671,34.411456
NaN,NaN
