datetime_local,water_temp_degC,do_mgL,batt_volt
2019-10-09 12:48:00,21.96,9.03,3.20
2019-10-09 12:49:00,21.91,9.18,3.20
2019-10-09 12:50:00,21.97,9.21,3.20
2019-10-09 12:51:00,21.99,9.33,3.20
2019-10-09 12:52:00,22.00,9.40,3.20
2019-10-09 12:53:00,22.02,9.47,3.20
2019-10-09 12:54:00,22.03,9.52,3.20
2019-10-09 12:55:00,22.10,9.61,3.20
2019-10-09 12:56:00,22.10,9.66,3.20
2019-10-09 12:57:00,22.08,9.67,3.20
2019-10-09 12:58:00,22.12,9.63,3.20
2019-10-09 12:59:00,22.16,9.55,3.20
2019-10-09 13:00:00,22.15,9.68,3.20
2019-10-09 13:01:00,22.15,9.67,3.20
2019-10-09 13:02:00,22.15,9.68,3.20
2019-10-09 13:03:00,22.13,9.64,3.20
2019-10-09 13:04:00,22.17,9.56,3.20
2019-10-09 13:05:00,22.18,9.65,3.20
2019-10-09 13:06:00,22.11,9.67,3.20
2019-10-09 13:07:00,22.22,9.70,3.20
2019-10-09 13:08:00,22.18,9.87,3.20
2019-10-09 13:09:00,22.21,9.89,3.20
2019-10-09 13:10:00,22.22,9.75,3.20
2019-10-09 13:11:00,22.19,9.80,3.20
2019-10-09 13:12:00,22.18,9.93,3.20
2019-10-09 13:13:00,22.22,9.93,3.20
2019-10-09 13:14:00,22.26,10.03,3.20
2019-10-09 13:15:00,22.23,9.90,3.20
2019-10-09 13:16:00,22.26,10.05,3.20
2019-10-09 13:17:00,22.28,9.99,3.20
2019-10-09 13:18:00,22.24,9.97,3.20
2019-10-09 13:19:00,22.25,9.79,3.20
2019-10-09 13:20:00,22.26,9.77,3.20
2019-10-09 13:21:00,22.23,9.86,3.20
2019-10-09 13:22:00,22.28,9.84,3.20
2019-10-09 13:23:00,22.27,9.90,3.20
2019-10-09 13:24:00,22.31,10.16,3.20
2019-10-09 13:25:00,22.32,10.00,3.20
2019-10-09 13:26:00,22.34,9.90,3.20
2019-10-09 13:27:00,22.31,9.95,3.20
2019-10-09 13:28:00,22.30,9.97,3.20
2019-10-09 13:29:00,22.30,10.09,3.20
2019-10-09 13:30:00,22.31,10.03,3.20
2019-10-09 13:31:00,22.28,9.99,3.20
2019-10-09 13:32:00,22.29,10.00,3.20
2019-10-09 13:33:00,22.27,10.19,3.20
2019-10-09 13:34:00,22.33,10.28,3.20
2019-10-09 13:35:00,22.29,10.37,3.20
2019-10-09 13:36:00,22.36,10.26,3.20
2019-10-09 13:37:00,22.31,10.20,3.20
2019-10-09 13:38:00,22.33,10.30,3.20
2019-10-09 13:39:00,22.27,10.36,3.20
2019-10-09 13:40:00,22.36,10.35,3.20
2019-10-09 13:41:00,22.36,10.36,3.20
2019-10-09 13:42:00,22.34,10.42,3.20
2019-10-09 13:43:00,22.41,10.51,3.20
2019-10-09 13:44:00,22.38,10.42,3.20
